,clientes,dia,poligono,vecinos
BARRIO JORGE ISAACS,452.0,8.0,"[(1061903, 874479), (1061905, 874473), (1061907, 874465), (1061949, 874355), (1061954, 874343), (1061962, 874320), (1061967, 874308), (1061975, 874279), (1061978, 874271), (1061991, 874273), (1062035, 874283), (1062054, 874288), (1062075, 874292), (1062102, 874298), (1062116, 874301), (1062100, 874332), (1062098, 874338), (1062118, 874348), (1062131, 874354), (1062187, 874380), (1062202, 874387), (1062243, 874407), (1062268, 874419), (1062331, 874451), (1062338, 874455), (1062341, 874447), (1062360, 874371), (1062364, 874354), (1062373, 874316), (1062377, 874301), (1062386, 874262), (1062390, 874246), (1062411, 874157), (1062418, 874136), (1062438, 874049), (1062443, 874031), (1062452, 873999), (1062455, 873985), (1062458, 873968), (1062462, 873954), (1062466, 873939), (1062472, 873917), (1062479, 873895), (1062397, 873871), (1062363, 873853), (1062335, 873822), (1062299, 873755), (1062271, 873709), (1062226, 873679), (1062169, 873666), (1062140, 873658), (1062100, 873688), (1062076, 873718), (1062058, 873767), (1062000, 873755), (1061999, 873764), (1061992, 873783), (1061983, 873814), (1061977, 873834), (1061967, 873869), (1061960, 873892), (1061955, 873913), (1061951, 873925), (1061944, 873948), (1061934, 873982), (1061923, 874020), (1061918, 874038), (1061904, 874084), (1061889, 874136), (1061881, 874162), (1061879, 874169), (1061871, 874195), (1061868, 874207), (1061866, 874213), (1061861, 874235), (1061853, 874269), (1061853, 874271), (1061852, 874308), (1061849, 874328), (1061847, 874341), (1061841, 874371), (1061839, 874384), (1061839, 874388), (1061836, 874400), (1061834, 874412), (1061829, 874430), (1061828, 874432), (1061826, 874437), (1061825, 874441), (1061852, 874453), (1061857, 874456), (1061903, 874480), (1061903, 874479)]","['BARRIO EL PILOTO', 'BARRIO INDUSTRIA DE LICORES', 'BARRIO INDUSTRIAL', 'BARRIO PORVENIR', 'BARRIO SAN NICOLAS', 'BARRIO SANTANDER']"
BARRIO JORGE ZAWADSKY,950.0,9.0,"[(1060761, 869253), (1060769, 869250), (1060855, 869222), (1060858, 869221), (1060864, 869219), (1060908, 869205), (1060897, 869169), (1060857, 869166), (1060832, 869165), (1060828, 869148), (1060817, 869111), (1060816, 869108), (1060790, 869025), (1060786, 869011), (1060774, 868973), (1060770, 868961), (1060758, 868923), (1060755, 868913), (1060744, 868875), (1060741, 868863), (1060723, 868802), (1060720, 868792), (1060705, 868743), (1060701, 868731), (1060686, 868683), (1060684, 868673), (1060665, 868613), (1060636, 868622), (1060567, 868643), (1060504, 868663), (1060462, 868676), (1060377, 868705), (1060356, 868711), (1060363, 868736), (1060374, 868773), (1060387, 868812), (1060400, 868848), (1060415, 868891), (1060430, 868936), (1060443, 868972), (1060454, 868964), (1060487, 868953), (1060518, 868943), (1060548, 868933), (1060559, 868929), (1060569, 868926), (1060581, 868922), (1060622, 868909), (1060639, 868903), (1060645, 868901), (1060647, 868907), (1060653, 868926), (1060660, 868946), (1060663, 868955), (1060675, 868993), (1060678, 869003), (1060692, 869044), (1060696, 869056), (1060709, 869096), (1060711, 869104), (1060724, 869143), (1060729, 869153), (1060735, 869172), (1060740, 869189), (1060743, 869198), (1060751, 869223), (1060756, 869237), (1060761, 869253)]","['BARRIO EL GUABAL', 'BARRIO LA SELVA', 'BARRIO PANAMERICANO', 'BARRIO PRIMERO DE MAYO', 'BARRIO SANTA ANITA - LA SELVA', 'BARRIO SANTO DOMINGO']"
BARRIO JOSE HOLGUIN GARCES,388.0,7.0,"[(1062155, 868796), (1062137, 868778), (1062100, 868739), (1062039, 868683), (1062007, 868653), (1061927, 868579), (1061890, 868545), (1061738, 868393), (1061646, 868344), (1061699, 868841), (1061834, 868825), (1061857, 868823), (1061931, 868816), (1061945, 868814), (1062101, 868798), (1062155, 868796)]","['BARRIO CA_AVERALES LOS SAMANES', 'BARRIO MARIANO RAMOS', 'BARRIO REPUBLICA DE ISRAEL', 'BARRIO SAN JUDAS TADEO I', 'BARRIO VILLA DEL SUR']"
BARRIO JOSE MANUEL MARROQUIN I,4962.0,13.0,"[(1065950, 870766), (1066009, 870764), (1066012, 870768), (1066103, 870769), (1066190, 870771), (1066251, 870771), (1066376, 870774), (1066467, 870774), (1066558, 870775), (1066668, 870775), (1066670, 870746), (1066671, 870670), (1066674, 870626), (1066682, 870593), (1066699, 870551), (1066737, 870471), (1066788, 870387), (1066796, 870376), (1066840, 870324), (1066861, 870297), (1066887, 870260), (1066907, 870235), (1066921, 870217), (1066938, 870202), (1066954, 870187), (1066962, 870176), (1066976, 870166), (1066990, 870154), (1067003, 870138), (1067012, 870121), (1067012, 870106), (1067008, 870089), (1067000, 870067), (1066984, 870036), (1066952, 869986), (1066890, 869893), (1066869, 869866), (1066829, 869827), (1066806, 869806), (1066805, 869807), (1066795, 869798), (1066786, 869787), (1066779, 869788), (1066767, 869768), (1066746, 869740), (1066736, 869731), (1066738, 869719), (1066726, 869709), (1066708, 869708), (1066671, 869715), (1066636, 869735), (1066611, 869764), (1066591, 869806), (1066570, 869856), (1066561, 869869), (1066559, 869875), (1066544, 869895), (1066522, 869912), (1066494, 869932), (1066470, 869956), (1066455, 869979), (1066440, 870008), (1066426, 870039), (1066413, 870080), (1066403, 870114), (1066393, 870140), (1066373, 870171), (1066349, 870203), (1066321, 870236), (1066298, 870263), (1066295, 870292), (1066272, 870328), (1066248, 870368), (1066213, 870407), (1066187, 870439), (1066154, 870461), (1066130, 870488), (1066099, 870516), (1066073, 870538), (1066048, 870566), (1066043, 870570), (1066039, 870572), (1066037, 870574), (1066026, 870583), (1066020, 870589), (1066015, 870596), (1066008, 870603), (1065988, 870609), (1065927, 870645), (1065899, 870649), (1065930, 870723), (1065950, 870766)]","['BARRIO ALFONSO BONILLA ARAGON', 'BARRIO JOSE MANUEL MARROQUIN II', 'BARRIO LAS ORQUIDEAS', 'BARRIO LOS LAGOS', 'BARRIO MANUELA BELTRAN', 'BARRIO OMAR TORRIJOS', 'BARRIO PROMOCIONES POPULARES']"
BARRIO JOSE MANUEL MARROQUIN II,3995.0,13.0,"[(1065979, 872187), (1066004, 872194), (1066034, 872215), (1066075, 872246), (1066114, 872276), (1066135, 872297), (1066147, 872309), (1066157, 872313), (1066178, 872309), (1066197, 872306), (1066220, 872295), (1066230, 872260), (1066234, 872235), (1066227, 872189), (1066219, 872158), (1066217, 872110), (1066214, 872071), (1066210, 872036), (1066197, 871987), (1066181, 871937), (1066170, 871893), (1066159, 871863), (1066150, 871827), (1066144, 871787), (1066144, 871746), (1066143, 871688), (1066142, 871679), (1066140, 871658), (1066136, 871630), (1066127, 871595), (1066117, 871565), (1066114, 871558), (1066109, 871536), (1066105, 871525), (1066101, 871503), (1066103, 871481), (1066111, 871451), (1066117, 871433), (1066126, 871411), (1066137, 871392), (1066147, 871378), (1066160, 871367), (1066171, 871353), (1066185, 871343), (1066199, 871334), (1066212, 871325), (1066228, 871319), (1066240, 871316), (1066269, 871310), (1066294, 871305), (1066319, 871297), (1066343, 871288), (1066359, 871282), (1066365, 871280), (1066380, 871270), (1066402, 871251), (1066444, 871223), (1066480, 871201), (1066524, 871173), (1066553, 871153), (1066573, 871133), (1066594, 871112), (1066609, 871086), (1066625, 871059), (1066634, 871038), (1066640, 871020), (1066649, 870995), (1066652, 870980), (1066655, 870966), (1066661, 870942), (1066665, 870918), (1066667, 870870), (1066667, 870803), (1066668, 870775), (1066558, 870775), (1066467, 870774), (1066376, 870774), (1066251, 870771), (1066190, 870771), (1066103, 870769), (1066012, 870768), (1066009, 870764), (1065950, 870766), (1065954, 870776), (1065976, 870822), (1065986, 870849), (1065987, 870913), (1065984, 871038), (1065981, 871147), (1065982, 871281), (1065979, 871376), (1065982, 871486), (1065982, 871584), (1065984, 871615), (1065984, 871634), (1065970, 871663), (1065966, 871749), (1065966, 871792), (1065966, 871833), (1065962, 871901), (1065962, 871974), (1065961, 872056), (1065958, 872106), (1065958, 872163), (1065959, 872181), (1065965, 872181), (1065969, 872181), (1065973, 872183), (1065979, 872187)]","['BARRIO ALIRIO MORA BELTRAN', 'BARRIO CHARCO AZUL', 'BARRIO JOSE MANUEL MARROQUIN I', 'BARRIO LOS LAGOS', 'BARRIO LOS NARANJOS I', 'BARRIO LOS NARANJOS II', 'BARRIO MARROQUIN III', 'BARRIO PROMOCIONES POPULARES', 'BARRIO SECTOR LAGUNA DEL PONDAJE']"
BARRIO JOSE Ma. CORDOBA,268.0,7.0,"[(1062995, 870459), (1063002, 870458), (1063039, 870454), (1063087, 870449), (1063094, 870448), (1063094, 870437), (1063090, 870396), (1063089, 870385), (1063088, 870378), (1063085, 870351), (1063084, 870341), (1063081, 870313), (1063080, 870305), (1063079, 870294), (1063078, 870284), (1063077, 870277), (1063077, 870269), (1063075, 870249), (1063074, 870243), (1063073, 870234), (1063071, 870209), (1063069, 870198), (1063060, 870102), (1063059, 870090), (1063056, 870061), (1063052, 870027), (1063049, 869991), (1063044, 869948), (1063044, 869934), (1063039, 869933), (1062938, 869927), (1062930, 869927), (1062940, 869944), (1062941, 869948), (1062944, 869984), (1062946, 869997), (1062948, 870020), (1062950, 870031), (1062953, 870066), (1062954, 870079), (1062958, 870111), (1062959, 870122), (1062962, 870158), (1062963, 870169), (1062967, 870209), (1062969, 870220), (1062973, 870258), (1062974, 870270), (1062977, 870304), (1062978, 870316), (1062981, 870343), (1062982, 870360), (1062986, 870397), (1062987, 870407), (1062991, 870448), (1062995, 870459)]","['BARRIO CIUDAD MODELO', 'BARRIO LA FORTALEZA', 'BARRIO LEON XIII', 'BARRIO PRIMAVERA', 'BARRIO SAN CARLOS']"
BARRIO JUANAMBU,938.0,7.0,"[(1059670, 873412), (1059668, 873426), (1059668, 873439), (1059667, 873446), (1059662, 873529), (1059659, 873555), (1059643, 873603), (1059645, 873680), (1059652, 873713), (1059652, 873723), (1059658, 873727), (1059662, 873731), (1059673, 873731), (1059701, 873766), (1059735, 873809), (1059758, 873869), (1059777, 873927), (1059788, 873991), (1059783, 874056), (1059797, 874111), (1059825, 874144), (1059845, 874173), (1059855, 874204), (1059907, 874252), (1059933, 874299), (1059950, 874335), (1059958, 874433), (1059977, 874459), (1059992, 874458), (1060035, 874378), (1060053, 874395), (1060077, 874369), (1060120, 874345), (1060128, 874337), (1060139, 874333), (1060162, 874340), (1060167, 874336), (1060194, 874311), (1060211, 874299), (1060209, 874296), (1060227, 874284), (1060227, 874281), (1060180, 874213), (1060180, 874212), (1060250, 874160), (1060266, 874148), (1060327, 874103), (1060335, 874097), (1060284, 874032), (1060264, 874021), (1060257, 874015), (1060247, 874007), (1060237, 873998), (1060221, 873982), (1060185, 873949), (1060166, 873930), (1060155, 873920), (1060143, 873908), (1060137, 873901), (1060104, 873854), (1060097, 873842), (1060091, 873835), (1060089, 873831), (1060086, 873827), (1060085, 873822), (1060085, 873817), (1060087, 873798), (1060087, 873795), (1060092, 873780), (1060075, 873772), (1060054, 873764), (1060028, 873753), (1060010, 873743), (1059983, 873727), (1059937, 873698), (1059927, 873692), (1059914, 873679), (1059866, 873634), (1059848, 873612), (1059834, 873595), (1059809, 873562), (1059793, 873540), (1059751, 873483), (1059741, 873471), (1059734, 873460), (1059725, 873447), (1059721, 873442), (1059711, 873432), (1059709, 873430), (1059704, 873426), (1059701, 873424), (1059699, 873423), (1059697, 873422), (1059693, 873420), (1059687, 873418), (1059687, 873418), (1059681, 873416), (1059674, 873414), (1059670, 873412)]","['BARRIO CENTENARIO', 'BARRIO EL PE_ON', 'BARRIO GRANADA', 'BARRIO NORMANDIA']"
BARRIO JULIO RINCON,427.0,1.0,"[(1064070, 870964), (1064111, 870942), (1064133, 870931), (1064193, 870900), (1064237, 870877), (1064279, 870856), (1064277, 870854), (1064248, 870821), (1064239, 870813), (1064230, 870803), (1064224, 870795), (1064204, 870762), (1064200, 870757), (1064079, 870640), (1064011, 870576), (1063953, 870521), (1063914, 870483), (1063909, 870478), (1063904, 870478), (1063899, 870477), (1063895, 870477), (1063889, 870473), (1063886, 870471), (1063882, 870466), (1063880, 870460), (1063882, 870451), (1063830, 870487), (1063804, 870510), (1063800, 870514), (1063847, 870565), (1063864, 870584), (1063884, 870608), (1063887, 870612), (1063900, 870626), (1063905, 870632), (1063917, 870645), (1063935, 870667), (1063937, 870669), (1063934, 870671), (1063927, 870676), (1063922, 870678), (1063925, 870683), (1063988, 870806), (1063994, 870818), (1064019, 870865), (1064042, 870911), (1064070, 870964)]","['BARRIO 12 DE OCTUBRE', 'BARRIO ASPROSOCIAL DIAMANTE', 'BARRIO CALYPSO', 'BARRIO EL DIAMANTE', 'BARRIO EL PONDAJE', 'BARRIO SAN PEDRO CLAVER', 'BARRIO SINDICAL', 'BARRIO YIRA CASTRO']"
BARRIO JUNIN,1306.0,3.0,"[(1061094, 871271), (1061071, 871275), (1061059, 871288), (1061019, 871287), (1060987, 871286), (1060972, 871288), (1060925, 871288), (1060899, 871286), (1060863, 871286), (1060860, 871300), (1060858, 871307), (1060857, 871311), (1060856, 871316), (1060841, 871382), (1060839, 871391), (1060831, 871423), (1060829, 871431), (1060810, 871503), (1060807, 871515), (1060804, 871526), (1060786, 871584), (1060781, 871598), (1060777, 871611), (1060774, 871622), (1060771, 871631), (1060762, 871662), (1060753, 871694), (1060742, 871712), (1060759, 871710), (1060827, 871711), (1060835, 871711), (1060843, 871711), (1060892, 871712), (1060901, 871712), (1060909, 871712), (1060956, 871713), (1060965, 871714), (1060971, 871714), (1061020, 871715), (1061042, 871715), (1061063, 871715), (1061109, 871716), (1061117, 871717), (1061123, 871717), (1061175, 871718), (1061211, 871718), (1061217, 871719), (1061224, 871719), (1061261, 871719), (1061277, 871720), (1061296, 871720), (1061337, 871721), (1061343, 871721), (1061403, 871721), (1061411, 871722), (1061419, 871722), (1061477, 871723), (1061477, 871722), (1061478, 871712), (1061480, 871629), (1061481, 871599), (1061482, 871590), (1061490, 871513), (1061395, 871447), (1061365, 871427), (1061340, 871409), (1061301, 871382), (1061265, 871357), (1061232, 871334), (1061198, 871310), (1061160, 871284), (1061125, 871260), (1061094, 871271)]","['BARRIO ARANJUEZ', 'BARRIO BRETA_A', 'BARRIO COLSEGUROS LOS ANDES', 'BARRIO GUAYAQUIL', 'BARRIO SAN CRISTOBAL', 'BARRIO SANTA ELENA', 'BARRIO URB. COLSEGUROS']"
BARRIO LA ALBORADA,808.0,1.0,"[(1061518, 867561), (1061528, 867596), (1061543, 867649), (1061559, 867705), (1061562, 867722), (1061619, 867740), (1061649, 867756), (1061655, 867759), (1061660, 867762), (1061667, 867763), (1061673, 867765), (1061688, 867769), (1061697, 867771), (1061714, 867773), (1061718, 867775), (1061722, 867777), (1061729, 867780), (1061733, 867780), (1061740, 867782), (1061749, 867783), (1061754, 867784), (1061760, 867786), (1061767, 867787), (1061772, 867789), (1061777, 867790), (1061781, 867792), (1061784, 867793), (1061787, 867795), (1061789, 867797), (1061792, 867798), (1061794, 867800), (1061797, 867801), (1061801, 867803), (1061804, 867804), (1061808, 867803), (1061811, 867802), (1061817, 867803), (1061823, 867805), (1061834, 867807), (1061844, 867809), (1061853, 867812), (1061860, 867814), (1061867, 867816), (1061877, 867818), (1061880, 867819), (1061882, 867821), (1061884, 867822), (1061886, 867824), (1061890, 867825), (1061889, 867827), (1061890, 867829), (1061891, 867831), (1061892, 867833), (1061893, 867835), (1061895, 867837), (1061897, 867842), (1061899, 867845), (1061900, 867847), (1061904, 867852), (1061933, 867883), (1062036, 867751), (1062106, 867676), (1062063, 867672), (1062013, 867668), (1062001, 867678), (1061885, 867649), (1061795, 867627), (1061776, 867619), (1061689, 867598), (1061662, 867592), (1061630, 867584), (1061595, 867576), (1061518, 867561)]","['BARRIO BRISAS DEL LIMONAR', 'BARRIO CA_AVERALES LOS SAMANES', 'BARRIO CIUDAD 2000', 'BARRIO MARIANO RAMOS']"
BARRIO LA BASE,1419.0,9.0,"[(1064979, 873563), (1064959, 873458), (1064945, 873391), (1064935, 873337), (1064925, 873285), (1064914, 873232), (1064904, 873178), (1064884, 873072), (1064873, 873019), (1064869, 873007), (1064869, 873005), (1064863, 872988), (1064856, 872953), (1064845, 872900), (1064837, 872860), (1064835, 872848), (1064825, 872796), (1064815, 872747), (1064814, 872741), (1064648, 872774), (1064634, 872776), (1064621, 872779), (1064578, 872788), (1064571, 872795), (1064572, 872805), (1064580, 872868), (1064582, 872891), (1064588, 872941), (1064590, 872954), (1064600, 873041), (1064605, 873063), (1064610, 873105), (1064611, 873118), (1064615, 873160), (1064616, 873172), (1064622, 873215), (1064629, 873276), (1064631, 873287), (1064635, 873327), (1064637, 873344), (1064642, 873382), (1064643, 873395), (1064648, 873437), (1064650, 873448), (1064654, 873489), (1064660, 873544), (1064668, 873544), (1064737, 873547), (1064767, 873548), (1064782, 873549), (1064845, 873553), (1064856, 873553), (1064881, 873555), (1064966, 873561), (1064979, 873563)]","['BARRIO BASE AEREA', 'BARRIO EL TREBOL', 'BARRIO URBANIZACION LA NUEVA BASE', 'BARRIO VILLA COLOMBIA']"
BARRIO LA CAMPI_A,314.0,7.0,"[(1061370, 876591), (1061342, 876599), (1061324, 876603), (1061306, 876606), (1061287, 876607), (1061281, 876607), (1061273, 876608), (1061251, 876608), (1061240, 876610), (1061222, 876612), (1061209, 876614), (1061187, 876619), (1061153, 876629), (1061126, 876636), (1061070, 876653), (1061045, 876662), (1061031, 876665), (1061014, 876671), (1061010, 876673), (1060993, 876684), (1060988, 876687), (1060991, 876693), (1060996, 876702), (1060998, 876705), (1061000, 876708), (1061005, 876716), (1061010, 876725), (1061014, 876731), (1061018, 876736), (1061021, 876741), (1061021, 876751), (1061021, 876756), (1061022, 876768), (1061009, 876784), (1061004, 876787), (1060984, 876798), (1060961, 876810), (1060953, 876812), (1060940, 876819), (1060934, 876820), (1060928, 876820), (1060922, 876829), (1060870, 876823), (1060870, 876867), (1060878, 876868), (1060901, 876867), (1060911, 876864), (1060933, 876863), (1060939, 876876), (1060944, 876884), (1060955, 876896), (1060967, 876902), (1060982, 876906), (1060993, 876907), (1061007, 876907), (1061027, 876903), (1061053, 876897), (1061060, 876895), (1061066, 876893), (1061068, 876891), (1061083, 876882), (1061109, 876867), (1061121, 876860), (1061138, 876850), (1061162, 876835), (1061195, 876815), (1061219, 876803), (1061224, 876801), (1061260, 876783), (1061274, 876777), (1061277, 876775), (1061288, 876770), (1061302, 876763), (1061321, 876754), (1061328, 876750), (1061346, 876742), (1061356, 876737), (1061370, 876731), (1061403, 876714), (1061399, 876699), (1061397, 876689), (1061394, 876679), (1061392, 876673), (1061390, 876665), (1061388, 876657), (1061385, 876645), (1061380, 876627), (1061377, 876618), (1061370, 876591)]","['BARRIO CIUDAD CHIPICHAPE', 'BARRIO EL BOSQUE', 'BARRIO LA FLORA', 'BARRIO LA PAZ']"
BARRIO LA CASCADA,880.0,4.0,"[(1057838, 867256), (1057836, 867271), (1057835, 867305), (1057838, 867346), (1057841, 867408), (1057847, 867449), (1057855, 867479), (1057868, 867516), (1057885, 867646), (1057882, 867662), (1057880, 867675), (1057875, 867703), (1057873, 867729), (1057871, 867751), (1057871, 867783), (1057875, 867822), (1057876, 867832), (1057883, 867870), (1057895, 867936), (1057900, 867964), (1057904, 868000), (1057912, 868061), (1057919, 868114), (1057932, 868173), (1057952, 868222), (1057967, 868257), (1057975, 868284), (1057977, 868302), (1057989, 868294), (1057990, 868294), (1057991, 868293), (1057994, 868292), (1057997, 868292), (1058032, 868288), (1058056, 868286), (1058054, 868252), (1058051, 868218), (1058050, 868205), (1058049, 868198), (1058048, 868183), (1058042, 868110), (1058041, 868100), (1058040, 868092), (1058037, 868060), (1058031, 867986), (1058028, 867951), (1058036, 867946), (1058042, 867945), (1058103, 867939), (1058115, 867938), (1058207, 867929), (1058307, 867920), (1058385, 867913), (1058386, 867918), (1058387, 867928), (1058498, 867918), (1058513, 867916), (1058564, 867912), (1058573, 867911), (1058614, 867907), (1058649, 867903), (1058654, 867903), (1058654, 867893), (1058655, 867840), (1058655, 867829), (1058633, 867832), (1058562, 867838), (1058556, 867839), (1058545, 867840), (1058542, 867840), (1058535, 867839), (1058530, 867835), (1058526, 867832), (1058519, 867826), (1058506, 867815), (1058474, 867775), (1058439, 867734), (1058378, 867664), (1058373, 867658), (1058366, 867650), (1058336, 867616), (1058290, 867576), (1058255, 867545), (1058231, 867524), (1058230, 867523), (1058228, 867522), (1058226, 867522), (1058223, 867521), (1058221, 867520), (1058219, 867520), (1058218, 867520), (1058216, 867520), (1058215, 867520), (1058214, 867520), (1058213, 867520), (1058212, 867520), (1058210, 867520), (1058209, 867520), (1058208, 867520), (1058207, 867520), (1058206, 867521), (1058205, 867520), (1058204, 867520), (1058204, 867520), (1058202, 867521), (1058200, 867521), (1058199, 867521), (1058198, 867521), (1058197, 867521), (1058196, 867521), (1058195, 867521), (1058193, 867521), (1058179, 867523), (1058163, 867513), (1058144, 867493), (1058111, 867445), (1058089, 867428), (1058080, 867396), (1058078, 867372), (1058077, 867369), (1058077, 867367), (1058077, 867366), (1058076, 867364), (1058075, 867363), (1058074, 867361), (1058073, 867360), (1058072, 867359), (1058070, 867358), (1058069, 867357), (1058067, 867356), (1058066, 867355), (1058064, 867354), (1058063, 867353), (1058062, 867352), (1058061, 867352), (1058060, 867351), (1058058, 867350), (1058056, 867349), (1058054, 867348), (1058053, 867348), (1058051, 867347), (1058049, 867346), (1058047, 867346), (1058045, 867345), (1058044, 867345), (1058043, 867345), (1058042, 867344), (1058041, 867344), (1058040, 867343), (1058038, 867343), (1058037, 867342), (1058036, 867342), (1058035, 867341), (1058034, 867341), (1058034, 867341), (1058033, 867340), (1058031, 867339), (1058029, 867335), (1058024, 867335), (1058021, 867331), (1058021, 867329), (1058019, 867329), (1058016, 867328), (1058010, 867325), (1058004, 867319), (1057998, 867319), (1057994, 867313), (1057984, 867310), (1057976, 867308), (1057967, 867306), (1057957, 867304), (1057948, 867300), (1057937, 867291), (1057930, 867278), (1057928, 867274), (1057921, 867275), (1057913, 867276), (1057910, 867277), (1057913, 867279), (1057906, 867276), (1057905, 867275), (1057902, 867274), (1057899, 867273), (1057896, 867271), (1057893, 867270), (1057884, 867266), (1057876, 867262), (1057838, 867256)]","['BARRIO CA_AVARALEJO GUADALUPE', 'BARRIO EL REFUGIO', 'BARRIO PAMPA LINDA']"
BARRIO LA ESMERALDA,570.0,8.0,"[(1063279, 874149), (1063241, 874272), (1063196, 874396), (1063587, 874520), (1063592, 874508), (1063622, 874441), (1063626, 874423), (1063631, 874412), (1063671, 874330), (1063682, 874302), (1063686, 874291), (1063695, 874271), (1063666, 874262), (1063650, 874256), (1063603, 874241), (1063577, 874233), (1063549, 874224), (1063525, 874217), (1063518, 874214), (1063480, 874202), (1063466, 874198), (1063453, 874194), (1063427, 874193), (1063279, 874149)]","['BARRIO BASE AEREA', 'BARRIO LAS DELICIAS', 'BARRIO PORVENIR', 'BARRIO SALOMIA']"
BARRIO LA ESPERANZA,481.0,7.0,"[(1061851, 870209), (1061948, 870202), (1061999, 870199), (1062019, 870197), (1062031, 870196), (1062067, 870194), (1062077, 870193), (1062076, 870183), (1062072, 870142), (1062071, 870121), (1062067, 870087), (1062064, 870062), (1062061, 870056), (1062063, 870048), (1062065, 870041), (1062069, 870032), (1062078, 870013), (1062087, 869993), (1062098, 869975), (1062101, 869971), (1062107, 869959), (1062110, 869947), (1062111, 869940), (1062109, 869915), (1062107, 869897), (1062106, 869880), (1062099, 869879), (1062008, 869875), (1061994, 869874), (1061929, 869871), (1061915, 869870), (1061858, 869867), (1061841, 869865), (1061831, 869864), (1061828, 869864), (1061819, 869863), (1061812, 869862), (1061851, 870209)]","['BARRIO BOYACA', 'BARRIO CRISTOBAL COLON', 'BARRIO EL JARDIN', 'BARRIO LA INDEPENDENCIA', 'BARRIO SAN JUDAS TADEO II']"
BARRIO LA FLORA,1476.0,7.0,"[(1061489, 875672), (1061486, 875682), (1061479, 875708), (1061471, 875733), (1061469, 875742), (1061467, 875750), (1061464, 875759), (1061461, 875767), (1061460, 875767), (1061457, 875775), (1061454, 875781), (1061450, 875788), (1061446, 875795), (1061444, 875798), (1061440, 875804), (1061435, 875810), (1061430, 875816), (1061428, 875818), (1061423, 875824), (1061417, 875830), (1061411, 875836), (1061405, 875841), (1061399, 875845), (1061388, 875852), (1061377, 875858), (1061374, 875859), (1061368, 875862), (1061361, 875865), (1061354, 875868), (1061347, 875870), (1061345, 875871), (1061330, 875874), (1061314, 875877), (1061312, 875878), (1061303, 875878), (1061299, 875879), (1061287, 875880), (1061279, 875880), (1061274, 875880), (1061268, 875881), (1061264, 875882), (1061255, 875884), (1061251, 875910), (1061248, 875921), (1061243, 875945), (1061251, 875953), (1061238, 876011), (1061229, 876029), (1061226, 876036), (1061213, 876095), (1061209, 876124), (1061209, 876156), (1061252, 876275), (1061262, 876302), (1061305, 876419), (1061310, 876432), (1061329, 876483), (1061334, 876497), (1061367, 876584), (1061370, 876591), (1061377, 876618), (1061380, 876627), (1061385, 876645), (1061388, 876657), (1061390, 876665), (1061392, 876673), (1061394, 876679), (1061397, 876689), (1061399, 876699), (1061403, 876714), (1061403, 876719), (1061402, 876725), (1061402, 876732), (1061401, 876738), (1061399, 876745), (1061398, 876751), (1061394, 876763), (1061393, 876767), (1061341, 876904), (1061333, 876929), (1061321, 876962), (1061312, 876993), (1061308, 877011), (1061301, 877065), (1061298, 877082), (1061298, 877135), (1061299, 877148), (1061299, 877189), (1061304, 877240), (1061307, 877264), (1061308, 877279), (1061312, 877349), (1061313, 877364), (1061314, 877381), (1061317, 877397), (1061319, 877415), (1061323, 877430), (1061327, 877446), (1061328, 877448), (1061332, 877461), (1061337, 877475), (1061343, 877487), (1061348, 877498), (1061353, 877506), (1061380, 877548), (1061391, 877564), (1061437, 877607), (1061635, 877535), (1061683, 877518), (1061768, 877486), (1061833, 877463), (1061900, 877439), (1061925, 877430), (1061954, 877420), (1061989, 877404), (1061998, 877400), (1061979, 877346), (1061956, 877286), (1061926, 877202), (1061926, 877200), (1061923, 877193), (1061923, 877192), (1061919, 877180), (1061896, 877117), (1061861, 877019), (1061841, 876965), (1061821, 876910), (1061816, 876895), (1061751, 876714), (1061718, 876621), (1061698, 876565), (1061679, 876514), (1061652, 876437), (1061634, 876386), (1061607, 876316), (1061604, 876309), (1061587, 876262), (1061561, 876192), (1061556, 876179), (1061530, 876095), (1061528, 876090), (1061528, 876090), (1061525, 876078), (1061522, 876069), (1061519, 876057), (1061516, 876045), (1061515, 876038), (1061512, 876025), (1061510, 876012), (1061509, 876001), (1061507, 875987), (1061506, 875973), (1061504, 875942), (1061502, 875910), (1061502, 875906), (1061498, 875854), (1061496, 875835), (1061494, 875814), (1061493, 875799), (1061493, 875789), (1061492, 875784), (1061491, 875766), (1061491, 875749), (1061491, 875742), (1061489, 875672)]","['BARRIO CIUDAD CHIPICHAPE', 'BARRIO EL BOSQUE', 'BARRIO LA CAMPI_A', 'BARRIO LA PAZ', 'BARRIO MENGA', 'BARRIO PARQUE DEL AMOR', 'BARRIO PRADOS DEL NORTE', 'BARRIO SAN VICENTE', 'BARRIO SANTA MONICA', 'BARRIO VIPASA']"
