NOMBRE,X,Y
BARRIO 20 DE JULIO,1062798,871438
BARRIO 20 DE JULIO,1062764,871465
BARRIO 20 DE JULIO,1062749,871477
BARRIO 20 DE JULIO,1062719,871500
BARRIO 20 DE JULIO,1062703,871514
BARRIO 20 DE JULIO,1062680,871531
BARRIO 20 DE JULIO,1062670,871538
BARRIO 20 DE JULIO,1062643,871559
BARRIO 20 DE JULIO,1062629,871569
BARRIO 20 DE JULIO,1062594,871596
BARRIO 20 DE JULIO,1062586,871604
BARRIO 20 DE JULIO,1062576,871613
BARRIO 20 DE JULIO,1062543,871639
BARRIO 20 DE JULIO,1062528,871650
BARRIO 20 DE JULIO,1062492,871677
BARRIO 20 DE JULIO,1062415,871731
BARRIO 20 DE JULIO,1062415,871731
BARRIO 20 DE JULIO,1062445,871736
BARRIO 20 DE JULIO,1062529,871747
BARRIO 20 DE JULIO,1062594,871756
BARRIO 20 DE JULIO,1062623,871761
BARRIO 20 DE JULIO,1062640,871763
BARRIO 20 DE JULIO,1062663,871767
BARRIO 20 DE JULIO,1062706,871776
BARRIO 20 DE JULIO,1062733,871782
BARRIO 3 DE JULIO,1059828,870878
BARRIO 3 DE JULIO,1059809,870905
BARRIO 3 DE JULIO,1059795,870924
BARRIO 3 DE JULIO,1059769,870960
BARRIO 3 DE JULIO,1059760,870972
BARRIO 3 DE JULIO,1059722,871026
BARRIO 3 DE JULIO,1059703,871052
BARRIO 3 DE JULIO,1059695,871062
BARRIO 3 DE JULIO,1059638,871139
BARRIO 3 DE JULIO,1059630,871150
BARRIO 3 DE JULIO,1059573,871226
BARRIO 3 DE JULIO,1059550,871255
BARRIO 3 DE JULIO,1059533,871278
BARRIO 3 DE JULIO,1059519,871296
BARRIO 3 DE JULIO,1059511,871304
BARRIO 3 DE JULIO,1059488,871323
BARRIO 3 DE JULIO,1059447,871352
BARRIO 3 DE JULIO,1059441,871356
BARRIO 3 DE JULIO,1059617,871589
BARRIO 3 DE JULIO,1059625,871600
BARRIO 3 DE JULIO,1059668,871655
BARRIO 3 DE JULIO,1059677,871666
BARRIO 3 DE JULIO,1059708,871706
BARRIO 3 DE JULIO,1059717,871719
BARRIO 3 DE JULIO,1059722,871724
BARRIO 3 DE JULIO,1059783,871796
BARRIO 3 DE JULIO,1059797,871811
BARRIO 3 DE JULIO,1059803,871818
BARRIO 3 DE JULIO,1059879,871901
BARRIO 3 DE JULIO,1059871,871874
BARRIO 3 DE JULIO,1059871,871849
BARRIO 3 DE JULIO,1059873,871837
BARRIO 3 DE JULIO,1059875,871821
BARRIO 3 DE JULIO,1059876,871816
BARRIO 3 DE JULIO,1059875,871802
BARRIO 3 DE JULIO,1059874,871784
BARRIO 3 DE JULIO,1059872,871744
BARRIO 3 DE JULIO,1059872,871726
BARRIO 3 DE JULIO,1059868,871642
BARRIO 3 DE JULIO,1059867,871630
BARRIO 3 DE JULIO,1059864,871548
BARRIO 3 DE JULIO,1059863,871534
BARRIO 3 DE JULIO,1059859,871430
BARRIO 3 DE JULIO,1059858,871416
BARRIO 3 DE JULIO,1059855,871345
BARRIO 3 DE JULIO,1059854,871331
BARRIO 3 DE JULIO,1059851,871263
BARRIO 3 DE JULIO,1059851,871250
BARRIO 3 DE JULIO,1059844,871106
BARRIO 3 DE JULIO,1059843,871094
BARRIO 3 DE JULIO,1059839,870990
BARRIO 3 DE JULIO,1059838,870978
BARRIO 3 DE JULIO,1059835,870936
BARRIO 3 DE JULIO,1059834,870917
BARRIO 3 DE JULIO,1059833,870908
BARRIO 3 DE JULIO,1059828,870878
BARRIO ACUEDUCTO SAN ANTONIO,1059368,873103
BARRIO ACUEDUCTO SAN ANTONIO,1059379,873036
BARRIO ACUEDUCTO SAN ANTONIO,1059381,873032
BARRIO ACUEDUCTO SAN ANTONIO,1059384,873032
BARRIO ACUEDUCTO SAN ANTONIO,1059411,873037
BARRIO ACUEDUCTO SAN ANTONIO,1059422,873039
BARRIO ACUEDUCTO SAN ANTONIO,1059436,873043
BARRIO ACUEDUCTO SAN ANTONIO,1059487,873055
BARRIO ACUEDUCTO SAN ANTONIO,1059498,873058
BARRIO ACUEDUCTO SAN ANTONIO,1059501,873059
BARRIO ACUEDUCTO SAN ANTONIO,1059509,873060
BARRIO ACUEDUCTO SAN ANTONIO,1059517,873062
BARRIO ACUEDUCTO SAN ANTONIO,1059526,873063
BARRIO ACUEDUCTO SAN ANTONIO,1059532,873063
BARRIO ACUEDUCTO SAN ANTONIO,1059537,873062
BARRIO ACUEDUCTO SAN ANTONIO,1059542,873062
BARRIO ACUEDUCTO SAN ANTONIO,1059554,873058
BARRIO ACUEDUCTO SAN ANTONIO,1059561,873056
BARRIO ACUEDUCTO SAN ANTONIO,1059565,873053
BARRIO ACUEDUCTO SAN ANTONIO,1059571,873051
BARRIO ACUEDUCTO SAN ANTONIO,1059578,873046
BARRIO ACUEDUCTO SAN ANTONIO,1059630,873012
